ThrustOfSaturnVRocketAtLaunch,newton,The thrust of the Saturn V Rocket at Launch,times the thrust of the Saturn V Rocket at Launch,Saturn V Rockets Launching,Saturn V Rockets Launching,Saturn V Rocket Launching,34500000
Energy released in the fission of one Uranium-235 atom,joule,The energy released in the fission of one Uranium-235 atom,times the energy released in the fission of one Uranium-235 atom,Urnaium-235 atoms being split,Urnaium-235 atoms being split,Urnaium-235 atom being split,0.0000000000344468
Kinetic energy of fastest baseball pitch,joule,The kinetic energy of fastest baseball pitch,times the kinetic energy of fastest baseball pitch,times the kinetic energy of fastest baseball pitch,the kinetic energy of fastest baseball pitch,the kinetic energy of fastest baseball pitch,162.461421789
Muzzle energy of a 9mm round,joule,The muzzle energy of a 9mm round,times the muzzle energy of a 9mm round,9mm rounds' worth of muzzle energy,9mm rounds' worth of muzzle energy,muzzle energy of a 9mm round,475.892
Muzzle energy of a .30 caliber round,joule,The muzzle energy of a .30 caliber round,times the muzzle energy of a .30 caliber round,.30 caliber rounds' worth of muzzle energy,.30 caliber rounds' worth of muzzle energy,muzzle energy of a .30 caliber round,5548.007
Energy output of a firework,joule,The energy output of a firework,times the energy output of a firework,fireworks of explosive energy,fireworks,firework,54392
Energy output of M67 hand grenade,joule,The energy output of M67 hand grenade,times the energy output of M67 hand grenade,M67 hand grenades,M67 hand grenades,M67 hand grenade,502080
Explosive Energy of M48 High Explosive Tank Round,joule,The explosive energy of M48 High Explosive tank round,times the explosive energy of M48 High Explosive tank round,M48 High Explosive tank rounds,M48 High Explosive tank rounds,M48 High Explosive tank round,2845000
Kinetic energy of projectile fired from the U.S. Navy's Mach 8 Railgun,joule,The kinetic energy of projectile fired from the U.S. Navy's Mach 8 Railgun,times the kinetic energy of projectile fired from the U.S. Navy's Mach 8 Railgun,times the kinetic energy of projectile fired from the U.S. Navy's Mach 8 Railgun,kinetic energy of projectile fired from the U.S. Navy's Mach 8 Railgun,kinetic energy of projectile fired from the U.S. Navy's Mach 8 Railgun,33000000
Energy in one gallon of gasoline,joule,The energy in one gallon of gasoline,gallons of gasoline,gallons of gasoline,gallons of gasoline,gallon of gasoline,132000000
Energy output of Tomahawk Cruise Missile,joule,The energy output of a Tomahawk cruise missile,times the energy output of a Tomahawk cruise missile,Tomahawk cruise missiles,Tomahawk cruise missiles,Tomahawk cruise missile,2092000000
"Energy output of the ""Mother of all Bombs"" (Most powerful non-nuclear explosive used in combat)",joule,The energy output of the GBU-43/B MOAB bomb,times the energy output of the GBU-43/B MOAB bomb,GBU-43/B MOAB bombs,GBU-43/B MOAB bombs,GBU-43/B MOAB bomb,46024000000
Energy output of the bomb dropped on Hiroshima,joule,The energy output of the bomb dropped on Hiroshima,times the energy output of the bomb dropped on Hiroshima,times the energy output of the bomb dropped on Hiroshima,energy output of the bomb dropped on Hiroshima,energy output of the bomb dropped on Hiroshima,62760000000000
Energy output of the first Hydrogen Bomb,joule,The energy output of the first Hydrogen Bomb,times the energy output of the first Hydrogen Bomb,times the energy output of the first Hydrogen Bomb,energy output of the first Hydrogen Bomb,energy output of the first Hydrogen Bomb,43513600000000000
Energy output of the Mount St. Helens Eruption,joule,The energy output of the Mount St. Helens Eruption,times the energy output of the Mount St. Helens Eruption,Mount St. Helens Eruptions,Mount St. Helens Eruptions,Mount St. Helens Eruption,100416000000000000
Energy released in the 1965 Rat Islands Earthquake,joule,The energy released in the 1965 Rat Islands Earthquake,times the energy released in the 1965 Rat Islands Earthquake,1965 Rat Islands Earthquakes,1965 Rat Islands Earthquakes,1965 Rat Islands Earthquake,707945784384137000
Total energy of the entire U.S. Nuclear stockpile,joule,The total energy of the entire U.S. Nuclear stockpile,times the total energy of the entire U.S. Nuclear stockpile,times the total energy of the entire U.S. Nuclear stockpile,total energy of the entire U.S. Nuclear stockpile,total energy of the entire U.S. Nuclear stockpile,4332113600000000000
Electric guitar amp at a large venue,watt,The power usage of an electric guitar amp at a large venue,times the power usage of an electric guitar amp at a large venue,electric guitar amps at a large venue,electric guitar amps at a large venue,electric guitar amp at a large venue,50
Power output of Incandenscent Edison Bulb,watt,The power output of Incandenscent Edison Bulb,times the power output of Incandenscent Edison Bulb,Incandescent Edison Bulbs,Incandescent Edison Bulbs,Incandescent Edison Bulb,60
Average Power Consumption of an American,watt,The average power consumption of an American,times the average power consumption of an American,Americans consuming power,Americans consuming power,Average American's power consumption,9334
Highest allowed Effective Radiated Power of an FM band Radio Station in the U.S.,watt,The highest allowed Effective Radiated Power of an FM band radio station in the U.S.,times the highest allowed Effective Radiated Power of an FM band radio station in the U.S.,times the highest allowed Effective Radiated Power of an FM band radio station in the U.S.,Highest allowed Effective Radiated Power of an FM band radio station in the U.S.,Highest allowed Effective Radiated Power of an FM band radio station in the U.S.,100000
Power output of a Supercar,watt,The power output of a Supercar,times the power output of a Supercar,times the power output of a Supercar,power output of a Supercar,power output of a Supercar,514849
Power output of P-51 Mustang WW2 fighter aircraft,watt,The power output of P-51 Mustang WW2 fighter aircraft,times the power output of P-51 Mustang WW2 fighter aircraft,times the power output of P-51 Mustang WW2 fighter aircraft,power output of P-51 Mustang WW2 fighter aircraft,power output of P-51 Mustang WW2 fighter aircraft,1265058
Power output of a Los-Angeles class attack submarine,watt,The power output of a Los-Angeles class attack submarine,times the power output of a Los-Angeles class attack submarine,times the power output of a Los-Angeles class attack submarine,power output of a Los-Angeles class attack submarine,power output of a Los-Angeles class attack submarine,25742456
Power output of a Nimitz-class aircraft carrier,watt,The power output of a Nimitz-class aircraft carrier,times the power output of a Nimitz-class aircraft carrier,times the power output of a Nimitz-class aircraft carrier,power output of a Nimitz-class aircraft carrier,power output of a Nimitz-class aircraft carrier,191229675
Power output of the Hoover Dam,watt,The power output of the Hoover Dam,times the power output of the Hoover Dam,times the power output of the Hoover Dam,power output of the Hoover Dam,power output of the Hoover Dam,2080000000
Power produced by the Space Shuttle in liftoff configuration,watt,The power produced by the Space Shuttle in liftoff configuration,times the power produced by the Space Shuttle in liftoff configuration,times the power produced by the Space Shuttle in liftoff configuration,power produced by the Space Shuttle in liftoff configuration,power produced by the Space Shuttle in liftoff configuration,12000000000
U.S. total nuclear power capacity,watt,The U.S. total nuclear power capacity,times the U.S. total nuclear power capacity,times the U.S. total nuclear power capacity,U.S. total nuclear power capacity,U.S. total nuclear power capacity,88152968037
U.S. total solar power capacity,watt,The U.S. total solar power capacity,times the U.S. total solar power capacity,times the U.S. total solar power capacity,U.S. total solar power capacity,U.S. total solar power capacity,239000000000
Total power consumption of the U.S.,watt,The total power consumption of the U.S.,times the total power consumption of the U.S.,times the total power consumption of the U.S.,total power consumption of the U.S.,total power consumption of the U.S.,3255263500000
Hurricane Katrina's release of Latent Heat Energy into the air,watt,The rate of Hurricane Katrina's release of latent heat energy into the air,times the rate of Hurricane Katrina's release of latent heat energy into the air,times the rate of Hurricane Katrina's release of latent heat energy into the air,Rate of Hurricane Katrina's release of latent heat energy into the air,Rate of Hurricane Katrina's release of latent heat energy into the air,300000000000000
Power output of OMEGA EP Laser,watt,The power output of OMEGA EP Laser,times the power output of OMEGA EP Laser,OMEGA EP Lasers' worth of power,OMEGA EP Lasers' power output,OMEGA EP Laser's worth of power,1428571400000000
